I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
Actually that has happened to me, during Thanksgiving</s> Yes, when the snow builds up on the road I get nervous, and during this trip I couldn't even see where the road was and where the ditch began.</s> Im from NC mountains, it can be tricking driving when the snow is latying fast</s> It sure can. When I decided that I wasn't comfortable driving in such deep snow I literally turned around and went home.</s>		<pad> I'm sorry to hear that. I'm glad you had a good time.</s>		That is a smart idea. Sometimes I would have no choice, but to keep going, bacsue of having to drive to work.No matter what the weather is.</s>
I screwed up plans for a date night with my wife. We ended up having to cancel and she was really mad about it.</s>		<pad> I am sorry to hear that. Did you have a good time?</s>		Oh I bet you were pretty upset. Did you guys reschedule?</s>
So I asked out a girl in my class and she said yes. Was a big morale boost.</s> im glad to hear that!</s> Thanks! We are getting coffee this weekend. Hopefully something comes of it!</s>		<pad> That is great. I hope you have a good weekend!</s>		good luck to you! i wish you the best</s>
I was at a meditation retreat last year for 10 days and I can say that I experienced a better feeling there than I could ever remembe</s>		<pad> That is amazing. I hope you had a great time.</s>		I've always liked the idea of meditation, but I feel like it'd be hard. My mind is always racing!</s>
Sometimes it's impossible to shove more food down my gullet</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Do you have a medical condition?</s>
I'm trying to get over my need to control things, and I find if I just let things happen it feels like a weights been pulled off my shoulders</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I used to struggle with the same problem, it can be overwhelming</s>
We might have to put our dog down soon.</s>		<pad> I'm sorry to hear that.</s>		Oh no. I have been there before. It was really sad.</s>
My friend is a surgeon and we were discussing salary. He easily makes 200,000 a year and he is only 32. It's crazy and I was jealous of him.</s> You shouldn't, because that is a very stressful job</s> Yeah, that's a good point. I also realized he has a high malpractice insurance, and is on call a lot.</s>		<pad> That is a great point. I hope you get the job.</s>		And don't forget how many years they have to study in order to get a license for surgery</s>
Hi, I feel bad because I've realized that I do not love my husband, but I do not have the courage to tell him</s> That's a pretty heavy realization...better tell him now that regret it later</s> You're right</s>		<pad> I agree, it's hard to tell someone that you love them.</s>		Best of luck to you</s>
My mom made a pretty awesome scrapbook and gave it to me for christmas several years ago. I recently dug it out and went through it.</s> That's awesome, what was in it?</s> Photos from my whole life growing up, with sections about my relationships with each sibling. pretty awesome.</s>		<pad> I'm glad you found it.</s>		You must be happy to have it back, those are the best memories.</s>
I recently went to ruby falls, an underground cavern with a waterfall.</s> That sounds awesome. Have you ever been before?</s> Not that particular one, no. I had butterflies in my stomach on that elevator going down 23 stories.</s>		<pad> That is a great experience.</s>		I wish I could go sometime that sounds like quite the experience.</s>
I found out that my daughter is moving out. My youngest one told me so.</s>		<pad> That's great news. What is the move?</s>		How do you feel about that?</s>
My girlfriend's dog was a 17 year old Chihuahua who emerged from a bathroom at a party in 1999.</s>		<pad> That's a pretty sad story. I'm sorry to hear that.</s>		Emerged from a bathroom? Intiguing. What do you mean?</s>
My mother in law was recently placed in hospice and is not expected to live much longer.</s> oh man. it's always tough to lose a parent. how old is she?</s> She's 87, so she has lived a long life, but she has Alzheimers, and it's really sad to watch her lose her mind.</s>		<pad> I'm sorry to hear that. I hope she is okay.</s>		yeah i bet. at least you got to know her for as long as you did</s>
i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years</s>		<pad> I'm so sorry to hear that. I hope you have a great time!</s>		3 years is a long time. How come?</s>
My brother recently proposed to his girlfriend, I'm really happy for him. :)</s> Oh that is fantastic! I bet your brother was pretty happy too.</s> Yeah, he gave her my grandmothers rings, since they were nice and we had them available. He's 23 so he's trying to save money, but still wanted her to have something nice.</s>		<pad> I bet he was.</s>		That is very sweet. I think they will have a happy and lasting marriage.</s>
I took my daughter out to the skate park today.</s>		<pad> That's great! What did you do?</s>		how did that go</s>
I have been working and prepping a powerful and moving speech.</s>		<pad> That's great! What is your speech about?</s>		Oh yeah? Is it on par with "I Have a Dream"?</s>
My husband has to travel a lot for work. It can be hard on a marriage, but after almost 23 years of marriage, I have faith he is loyal and faithful when he does.</s>		<pad> That is great. I hope he is able to do that for you.</s>		What does your husband do for work?</s>
Our local organic store now stocks Indian food made by a local Indian lady - heaven, heaven, heaven!</s> That is very cool! I love when food is authentic. Do you shop there often?</s> About once a week. Her husband works in the store, so he brings her food in regularly. It's such a pleasure to find such a thing - I missed my Indian food!</s>		<pad> I love Indian food! I love Indian food!</s>		I have never tried making Indian food myself, but I do really enjoy Indian restaurants. I am jealous.</s>
I was in a hospital and a guy game in with some really bad burns.</s>		<pad> That's awful. Did you get a call?</s>		oh my gosh. what happened to him?</s>
i was so in awe when i saw hamilton</s> The rap version? Doesn't sound all that appealing to me. Was it that good?</s> It was really awesome dude, the full show covers it all up</s>		<pad> That's great. I've never heard of him before.</s>		Maybe i'll have to check it out</s>
My sister is always the sibling that my parents talk about. Sometimes I wonder if they even notice me.</s>		<pad> I'm sure they are.</s>		I am sorry to hear that. Have you ever talked to your parents about that?</s>
it was the grand opening for our restaurant. The whole town was there. almost double the number of people we were expecting</s> That sounds so exciting! Congratulations!</s> thanks. i think its an achivement of the whole town</s>		<pad> That is great! I hope you had a great time!</s>		It sounds like you live in a great community.</s>
i was really glad i finished my service for the military</s>		<pad> That's great! What kind of service did you get?</s>		Thanks you for your service</s>
